http://www.wikidata.org/entity/Q10707,Robert Mugabe,134,politician
http://www.wikidata.org/entity/Q1071031,Paolo Gentiloni,83,politician_journalist_international forum participant
http://www.wikidata.org/entity/Q107190,Peter Pan,71,
http://www.wikidata.org/entity/Q107365,Manuel Neuer,92,association football player
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,102,professional wrestler_film actor_film producer_executive producer_American football player_television actor_voice actor_businessperson_Canadian football player_actor
http://www.wikidata.org/entity/Q1075796,Carlos Alazraqui,81,stand-up comedian_actor_television director_television producer_film actor_writer_television editor_singer_dancer_voice actor_comedian_screenwriter_film producer_film editor_television actor
http://www.wikidata.org/entity/Q107674650,Percy Liza,81,association football player
http://www.wikidata.org/entity/Q10819,Mariano Rajoy Brey,113,politician_lawyer_Land Registrar_international forum participant
http://www.wikidata.org/entity/Q108206,John Bunyan,72,theologian_writer_preacher_novelist
http://www.wikidata.org/entity/Q108366,Gregory Peck,85,film actor_character actor_film producer_stage actor_television actor
http://www.wikidata.org/entity/Q10853588,Kamala Harris,144,politician_lawyer_prosecutor_jurist
http://www.wikidata.org/entity/Q108941,Carrie Fisher,107,film actor_novelist_playwright_voice actor_screenwriter_writer_television actor_stage actor_singer_spokesperson_script doctor_film producer_actor
http://www.wikidata.org/entity/Q10993,Tiger Woods,89,writer_golfer_animal trainer
http://www.wikidata.org/entity/Q110053,Mats Hummels,72,association football player
http://www.wikidata.org/entity/Q11031,Vilfredo Pareto,74,economist_philosopher_sociologist_university teacher_engineer_mathematician
http://www.wikidata.org/entity/Q11104,Alhazen,96,mathematician_physicist_philosopher_astronomer_inventor_astrologer_engineer
http://www.wikidata.org/entity/Q1110560,Umm Kulthum,97,singer_actor_film actor
http://www.wikidata.org/entity/Q11192,Kimi Räikkönen,88,Formula One driver_rally driver_racing automobile driver
http://www.wikidata.org/entity/Q1124,Bill Clinton,207,politician_lawyer_diplomat_autobiographer_writer_teacher_statesperson_saxophonist_international forum participant
http://www.wikidata.org/entity/Q112536,Joey King,74,television actor_actor_singer_stage actor_film actor_voice actor
http://www.wikidata.org/entity/Q11256,Fidel Castro,198,politician_lawyer_dictator_statesperson_partisan_journalist_revolutionary
http://www.wikidata.org/entity/Q11270,Fulgencio Batista,84,politician_military personnel
http://www.wikidata.org/entity/Q113581,Conchita Wurst,80,singer_model_drag queen_cinematographer_television presenter_pop singer_musician
http://www.wikidata.org/entity/Q11359,Aryabhata,93,astronomer_mathematician_astrologer
http://www.wikidata.org/entity/Q1137062,Jack Ma,85,entrepreneur_international forum participant_philanthropist
http://www.wikidata.org/entity/Q11459,Serena Williams,111,tennis player_autobiographer_actor_businessperson_writer_designer
http://www.wikidata.org/entity/Q114834007,IShowSpeed,82,YouTuber_Twitch streamer_online streamer_musician
http://www.wikidata.org/entity/Q1148669,Cyril Ramaphosa,88,politician_trade unionist_businessperson_international forum participant_entrepreneur
http://www.wikidata.org/entity/Q1149,Indira Gandhi,157,politician_writer
http://www.wikidata.org/entity/Q1151,Hector Berlioz,131,journalist_conductor_writer_autobiographer_music critic_librettist_virtuoso_librarian_composer
http://www.wikidata.org/entity/Q115453,Ivan Rakitić,78,association football player
http://www.wikidata.org/entity/Q115483,Max Frisch,71,writer_architect_playwright_novelist_diarist_screenwriter_philosopher_journalist_biographer_poet
http://www.wikidata.org/entity/Q115541,Dakota Fanning,80,actor_film actor_voice actor_singer_television actor_model
http://www.wikidata.org/entity/Q11571,Cristiano Ronaldo,184,association football player_fashion entrepreneur_model
http://www.wikidata.org/entity/Q11576,Raúl González Blanco,80,association football player_association football manager
http://www.wikidata.org/entity/Q11578,Venus Williams,85,tennis player_entrepreneur_writer
http://www.wikidata.org/entity/Q1158157,Ned Flanders,32,
http://www.wikidata.org/entity/Q11584,Iker Casillas,96,association football player
http://www.wikidata.org/entity/Q116113,James Gordon,31,detective_police commissioner
http://www.wikidata.org/entity/Q11613,Harry S. Truman,180,politician_judge_businessperson_military officer_diarist
http://www.wikidata.org/entity/Q11637,Judy Garland,141,television actor_film actor_singer_actor_voice actor_radio personality_musician_stage actor
http://www.wikidata.org/entity/Q11641,Grace Hopper,77,mathematician_naval officer_computer scientist_university teacher_programmer_physicist
http://www.wikidata.org/entity/Q11662,Steffi Graf,87,tennis player
http://www.wikidata.org/entity/Q11665,José Ramos-Horta,72,politician_lawyer_legal counsel_international forum participant
http://www.wikidata.org/entity/Q11666,Maria Sjarapova,106,tennis player_model_diplomat
http://www.wikidata.org/entity/Q11685,Kim Clijsters,71,tennis player
http://www.wikidata.org/entity/Q117012,Yoko Ono,92,peace activist_singer_composer_performance artist_painter_recording artist_film director_photographer_sculptor_conceptual artist_visual artist_filmmaker
http://www.wikidata.org/entity/Q117253,Demosthenes,107,politician_diplomat_orator_writer
http://www.wikidata.org/entity/Q117346,Grigori Perelman,74,mathematician
http://www.wikidata.org/entity/Q11753,Heinz Fischer,84,politician_jurist_university teacher
http://www.wikidata.org/entity/Q1177254,David Woodard,211,composer_conductor_writer
http://www.wikidata.org/entity/Q1178,Maurice Ravel,103,conductor_pianist_composer
http://www.wikidata.org/entity/Q11806,John Adams,170,lawyer_politician_diplomat_political philosopher_statesperson_writer
http://www.wikidata.org/entity/Q11812,Thomas Jefferson,206,teacher_cryptographer_architect_lawyer_writer_diplomat_politician_philosopher_inventor_farmer_statesperson_archaeologist_jurist
