http://www.wikidata.org/entity/Q181,Jimmy Wales,217
http://www.wikidata.org/entity/Q185,Larry Sanger,100
http://www.wikidata.org/entity/Q20875,Eduard VII van het Verenigd Koninkrijk,102
http://www.wikidata.org/entity/Q23505,George H.W. Bush,187
http://www.wikidata.org/entity/Q23559,Benito Mussolini,190
http://www.wikidata.org/entity/Q39803,Mario Vargas Llosa,116
http://www.wikidata.org/entity/Q1762,Elagabalus,80
http://www.wikidata.org/entity/Q2540,Christian Wulff,91
http://www.wikidata.org/entity/Q2542,Horst Köhler,91
http://www.wikidata.org/entity/Q2563,Roman Herzog,70
http://www.wikidata.org/entity/Q4593,Rajiv Gandhi,100
http://www.wikidata.org/entity/Q7349,Joseph Haydn,146
http://www.wikidata.org/entity/Q9021,Max Planck,169
http://www.wikidata.org/entity/Q11641,Grace Hopper,77
http://www.wikidata.org/entity/Q15257,Ron Paul,82
http://www.wikidata.org/entity/Q16004,Hendrik van Luxemburg,72
http://www.wikidata.org/entity/Q23380,Jean Auguste Dominique Ingres,128
http://www.wikidata.org/entity/Q24313,Mike Pence,115
http://www.wikidata.org/entity/Q40213,William Butler Yeats,142
http://www.wikidata.org/entity/Q45909,John Cale,82
http://www.wikidata.org/entity/Q4934,Larry Page,101
http://www.wikidata.org/entity/Q41309,Franz Liszt,119
http://www.wikidata.org/entity/Q15935,Kanye West,98
http://www.wikidata.org/entity/Q2607,Erich Honecker,90
http://www.wikidata.org/entity/Q4631,Mohamed Morsi,113
http://www.wikidata.org/entity/Q15029,Hu Jintao,119
http://www.wikidata.org/entity/Q18111,Li Keqiang,90
http://www.wikidata.org/entity/Q93341,Miles Davis,96
http://www.wikidata.org/entity/Q40495,Pervez Musharraf,107
http://www.wikidata.org/entity/Q41117,Kim Il-sung,152
http://www.wikidata.org/entity/Q41390,Kurt Gödel,107
http://www.wikidata.org/entity/Q45575,Dennis Ritchie,89
http://www.wikidata.org/entity/Q46096,Felix Mendelssohn Bartholdy,116
http://www.wikidata.org/entity/Q22686,Donald Trump,295
http://www.wikidata.org/entity/Q2105,Jacques Chirac,153
http://www.wikidata.org/entity/Q2185,Georges Pompidou,138
http://www.wikidata.org/entity/Q2496,Ludwig Erhard,85
http://www.wikidata.org/entity/Q2518,Helmut Kohl,124
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,82
http://www.wikidata.org/entity/Q4128,Louis Aragon,79
http://www.wikidata.org/entity/Q4496,Mitt Romney,102
